Data	Posto	qnat	qinc	fonte
2018-03-16	318	56	-30	RDH
2018-03-16	316	167		RDH
2018-03-16	315	167		RDH
2018-03-16	306	184		RDH
2018-03-16	303	40		RDH
2018-03-16	297	909	7	ACOMPH
2018-03-16	296	40	40	ACOMPH
2018-03-16	295	85	85	ACOMPH
2018-03-16	294	169	169	ACOMPH
2018-03-16	292	12682		RDH
2018-03-16	291	619	619	ACOMPH
2018-03-16	290	740	740	ACOMPH
2018-03-16	288	16252	16252	ACOMPH
2018-03-16	287	39042	599	ACOMPH
2018-03-16	286	60	60	ACOMPH
2018-03-16	285	39304	39304	ACOMPH
2018-03-16	284	72	5	ACOMPH
2018-03-16	283	87	87	ACOMPH
2018-03-16	281	97	97	ACOMPH
2018-03-16	280	903	3	ACOMPH
2018-03-16	279	887	887	ACOMPH
2018-03-16	278	246	246	ACOMPH
2018-03-16	277	272	272	ACOMPH
2018-03-16	275	23875	16755	ACOMPH
2018-03-16	273	4037	1314	ACOMPH
2018-03-16	271	8379	4734	ACOMPH
2018-03-16	270	1035	1035	ACOMPH
2018-03-16	269	269	269	ACOMPH
2018-03-16	266	15834	4660	ACOMPH
2018-03-16	263	153	8	ACOMPH
2018-03-16	262	105	105	ACOMPH
2018-03-16	261	283	16	ACOMPH
2018-03-16	259	120	120	ACOMPH
2018-03-16	257	2662	1252	ACOMPH
2018-03-16	255	126	126	ACOMPH
2018-03-16	254	24	26	ACOMPH
2018-03-16	253	1392	159	ACOMPH
2018-03-16	251	221	82	ACOMPH
2018-03-16	249	343	7	ACOMPH
2018-03-16	248	246	9	ACOMPH
2018-03-16	247	229	229	ACOMPH
2018-03-16	246	10195	1075	ACOMPH
2018-03-16	245	8710	491	ACOMPH
2018-03-16	243	731	29	ACOMPH
2018-03-16	242	686	47	ACOMPH
2018-03-16	241	203	15	ACOMPH
2018-03-16	240	650	118	ACOMPH
2018-03-16	239	585	101	ACOMPH
2018-03-16	238	503	52	ACOMPH
2018-03-16	237	427	233	ACOMPH
2018-03-16	230	5398	35	ACOMPH
2018-03-16	229	5451	3841	ACOMPH
