NUMERO DE USINAS
XXX
165
NUMERO DAS USINAS NO CADASTRO
1   2   3   4   5   6   7   8   9   10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54  55  56  57  58  59  60  61  62  63  64  65  66  67  68  69  70  71  72  73  74  75  76  77  78  79  80  81  82  83  84  85  86  87  88  89  90  91  92  93  94  95  96  97  98  99  100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 
XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX 
1   2   4   24  27  28  25  33  156 134 10  143 162 148 217 193 141 14  18  37  40  42  15  16  38  39  62  63  52  51  47  49  61  50  45  43  34  153 46  120 121 6   7   8   12  17  31  30  251 278 123 129 20  287 257 122 124 130 185 131 133 125 180 181 182 147 146 107 108 109 117 118 119 32  11  135 139 262 88  89  144 66  110 111 112 113 114 74  76  82  83  115 73  71  72  57  77  78  93  91  92  252 253 267 281 9   26  86  90  97  98  99  103 169 172 173 174 175 178 190 189 275 272 279 280 204 127 126 283 145 261 48  249 241 304 305 196 195 95  203 154 310 29  94  215 155 311 312 315 21  290 101 276 102 277 285 286 284 227 228 229 192 230 288 314 
Hr  Dd  Mm  Ano
XX  XX  XX  XXXX
00  27  01  2024
Dia inic(1-SAB...7-SEX); sem da FCF; n. semanas; pre-interesse
X X X X
1 1 1 0
VAZOES DIARIAS PARA CADA USINA (m3/s)
NUM     NOME      itp   DI HI M DF HF M      VAZAO
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
  1 CAMARGOS       1    27      F                  97
  1 CAMARGOS       1    28      F                  95
  1 CAMARGOS       1    30      F                  91
  1 CAMARGOS       1    31      F                  87
  1 CAMARGOS       1    01      F                  86
  1 CAMARGOS       1    02      F                  84
  2 ITUTINGA       1    27      F                   0
  4 FUNIL-GRANDE   1    27      F                 173
  4 FUNIL-GRANDE   1    28      F                 168
  4 FUNIL-GRANDE   1    29      F                 172
  4 FUNIL-GRANDE   1    30      F                 163
  4 FUNIL-GRANDE   1    31      F                 152
  4 FUNIL-GRANDE   1    01      F                 144
  4 FUNIL-GRANDE   1    02      F                 140
 24 EMBORCACAO     1    27      F                 143
 24 EMBORCACAO     1    28      F                 146
 24 EMBORCACAO     1    30      F                 140
 24 EMBORCACAO     1    31      F                 134
 24 EMBORCACAO     1    01      F                 147
 24 EMBORCACAO     1    02      F                 162
 27 CAPIM BRANC1   1    27      F                   2
 27 CAPIM BRANC1   1    28      F                   1
 28 CAPIM BRANC2   1    27      F                   4
 28 CAPIM BRANC2   1    29      F                   3
 25 NOVA PONTE     1    27      F                 183
 25 NOVA PONTE     1    29      F                 178
 25 NOVA PONTE     1    30      F                 171
 25 NOVA PONTE     1    31      F                 167
 25 NOVA PONTE     1    01      F                 182
 25 NOVA PONTE     1    02      F                 197
 33 SAO SIMAO      1    27      F                 543
 33 SAO SIMAO      1    28      F                 512
 33 SAO SIMAO      1    29      F                 480
 33 SAO SIMAO      1    30      F                 452
 33 SAO SIMAO      1    31      F                 435
 33 SAO SIMAO      1    01      F                 467
 33 SAO SIMAO      1    02      F                 490
156 TRES MARIAS    1    27      F                 408
156 TRES MARIAS    1    28      F                 473
156 TRES MARIAS    1    29      F                 495
156 TRES MARIAS    1    30      F                 510
156 TRES MARIAS    1    31      F                 524
156 TRES MARIAS    1    01      F                 549
156 TRES MARIAS    1    02      F                 559
134 SALTO GRANDE   1    27      F                 455
134 SALTO GRANDE   1    28      F                 500
134 SALTO GRANDE   1    29      F                 438
134 SALTO GRANDE   1    30      F                 378
134 SALTO GRANDE   1    31      F                 326
134 SALTO GRANDE   1    01      F                 281
134 SALTO GRANDE   1    02      F                 248
 10 IGARAPAVA      1    27      F                  30
 10 IGARAPAVA      1    28      F                  28
 10 IGARAPAVA      1    29      F                  26
 10 IGARAPAVA      1    30      F                  25
 10 IGARAPAVA      1    31      F                  23
 10 IGARAPAVA      1    02      F                  22
143 AIMORES        1    27      F                 306
143 AIMORES        1    28      F                 341
143 AIMORES        1    29      F                 361
143 AIMORES        1    30      F                 341
143 AIMORES        1    31      F                 310
143 AIMORES        1    01      F                 274
143 AIMORES        1    02      F                 238
162 QUEIMADO       1    27      F                  64
162 QUEIMADO       1    28      F                  76
162 QUEIMADO       1    29      F                  81
162 QUEIMADO       1    30      F                  86
162 QUEIMADO       1    31      F                  92
162 QUEIMADO       1    01      F                  95
162 QUEIMADO       1    02      F                  93
148 IRAPE          1    27      F                 539
148 IRAPE          1    28      F                 627
148 IRAPE          1    29      F                 642
148 IRAPE          1    30      F                 617
148 IRAPE          1    31      F                 561
148 IRAPE          1    01      F                 481
148 IRAPE          1    02      F                 398
217 ROSAL          1    27      F                  57
217 ROSAL          1    28      F                  59
217 ROSAL          1    30      F                  55
217 ROSAL          1    31      F                  51
217 ROSAL          1    01      F                  48
217 ROSAL          1    02      F                  45
193 SA CARVALHO    1    27      F                   4
193 SA CARVALHO    1    31      F                   3
141 BAGUARI        1    27      F                 716
141 BAGUARI        1    28      F                 798
141 BAGUARI        1    29      F                 844
141 BAGUARI        1    30      F                 796
141 BAGUARI        1    31      F                 726
141 BAGUARI        1    01      F                 641
141 BAGUARI        1    02      F                 556
 14 CACONDE        1    27      F                  52
 14 CACONDE        1    28      F                  48
 14 CACONDE        1    29      F                  45
 14 CACONDE        1    30      F                  43
 14 CACONDE        1    31      F                  41
 14 CACONDE        1    01      F                  42
 14 CACONDE        1    02      F                  44
 18 A. VERMELHA    1    27      F                 205
 18 A. VERMELHA    1    28      F                 193
 18 A. VERMELHA    1    29      F                 183
 18 A. VERMELHA    1    30      F                 173
 18 A. VERMELHA    1    31      F                 165
 18 A. VERMELHA    1    01      F                 158
 18 A. VERMELHA    1    02      F                 152
 37 BARRA BONITA   1    27      F                 151
 37 BARRA BONITA   1    28      F                 131
 37 BARRA BONITA   1    29      F                 117
 37 BARRA BONITA   1    30      F                 109
 37 BARRA BONITA   1    31      F                 100
